User_Id,Search_Query,Search_Timestamp,Implied_Place_Id
1,Things to do in Jakarta,2025-02-06 05:45:27,354.0
1,How to get to Gembira Loka Zoo,2024-11-19 20:52:27,
1,Top rated tempat ibadah,2024-04-21 23:38:27,
1,How to get to Museum Tengah Kebun,2024-12-13 18:08:27,
1,Rumah Sipitung entrance fee,2025-03-09 11:01:27,53.0
1,Top rated taman hiburan,2024-08-21 15:26:27,160.0
1,Gumuk Pasir Parangkusumo reviews,2025-01-24 22:54:27,128.0
2,Things to do in Yogyakarta,2024-05-05 00:49:27,
2,Is Goa Rancang Kencono kid-friendly?,2024-09-08 22:57:27,148.0
2,Photos of Kawasan Malioboro,2024-05-02 07:22:27,
2,Bandung tourist attractions,2024-12-29 16:43:27,77.0
2,Top rated pusat perbelanjaan,2025-01-24 15:15:27,256.0
2,Galeri Nasional Indonesia entrance fee,2024-06-19 21:58:27,
2,Pantai Greweng reviews,2024-06-11 05:36:27,
2,Best pusat perbelanjaan,2025-02-10 20:22:27,
2,Top rated budaya,2024-08-28 05:16:27,29.0
2,budaya near me,2024-10-21 00:51:27,58.0
2,Museum Sonobudoyo Unit I entrance fee,2024-06-16 20:37:27,118.0
2,budaya near me,2025-01-10 06:47:27,
3,Photos of Gumuk Pasir Parangkusumo,2025-03-11 17:16:27,
3,Museum Sepuluh Nopember Kota Surabaya reviews,2024-07-16 04:15:27,
3,Monumen Serangan Umum 1 Maret entrance fee,2024-08-01 13:56:27,
3,How to get to Pantai Goa Cemara,2024-12-10 18:57:27,
3,How to get to Candi Prambanan,2024-10-06 14:32:27,
3,Best taman hiburan,2025-03-14 22:49:27,171.0
3,Best budaya,2024-07-14 04:29:27,284.0
3,How to get to Goa Cerme,2024-12-20 15:01:27,
3,Things to do in Semarang,2024-09-13 01:18:27,400.0
3,Photos of Seribu Batu Songgo Langit,2025-01-27 18:52:27,143.0
3,How to get to Pantai Marina,2024-09-14 19:11:27,344.0
3,"How to get to Bukit Paralayang, Watugupit",2024-10-16 19:19:27,161.0
3,Things to do in Semarang,2024-12-14 11:59:27,37.0
4,Top rated bahari,2024-10-29 02:38:27,
