,Place_Id,Place_Name,Description,Category,City,Price,Rating,Coordinate,Lat,Long,Tags,Clean_Description
0,1,Monumen Nasional,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Budaya,Jakarta,20000,4.6,"{'lat': -6.1753924, 'lng': 106.8271528}",-617.539,1.068.272,"['monumen', 'monas', 'tugu']",monumen nasional populer singkat monas tugu monas monumen ingat setinggi 132 meter 433 kaki diri kenang lawan juang rakyat indonesia rebut merdeka perintah kolonial hindia belanda bangun monumen mulai tanggal 17 agustus 1961 bawah perintah presiden soekarno buka umum tanggal 12 juli 1975 tugu mahkota lidah api lapis lembar emas melambang semangat juang menyalanyala monumen nasional letak tepat tengah lapang medan merdeka jakarta pusat
1,2,Kota Tua,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Budaya,Jakarta,0,4.6,"{'lat': -6.137644799999999, 'lng': 106.8171245}",-613.764,1.068.171,"['alunalun', 'tua', 'mi']",kota tua jakarta nama kota tua pusat alunalun fatahillah alunalun ramai tunjuk rutin tari tradisional museum sejarah jakarta bangun era belanda lukis barang antik sedang museum wayang pamer boneka kayu khas jawa desa glodok chinatown kenal makan kaki lima pangsit mi goreng dekat sekunar kapal tangkap ikan labuh sunda kelapa kuno
2,3,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Taman Hiburan,Jakarta,270000,4.6,"{'lat': -6.125312399999999, 'lng': 106.8335377}",-612.531,1.068.335,"['dufan', 'fantasi', '1985']",dunia fantasi sebut dufan tempat hibur letak kawasan taman impi jaya ancol jakarta utara indonesia dufan resmi buka tanggal 29 agustus 1985
3,4,Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6Â°18â€²6.8â€³LS,106Â°53â€²47.2â€³BT",Taman Hiburan,Jakarta,10000,4.5,"{'lat': -6.302445899999999, 'lng': 106.8951559}",-630.245,1.068.952,"['ls106', '68', '53']",taman mini indonesia indah rupa suatu kawasan taman wisata tema budaya indonesia jakarta timur area luas kurang lebih 150 hektare 15 kilometer persegi letak koordinat 6 18 68 ls106 53 472 bt
4,5,Atlantis Water Adventure,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Taman Hiburan,Jakarta,94000,4.5,"{'lat': -6.12419, 'lng': 106.839134}",-612.419,1.068.391,"['atlantis', 'tualang', 'ancol']",atlantis water adventure kenal atlantis ancol suguh tualang wisata air tak lupa tempat wisata tema main air luas 5 hektar beri sensasi tualang 8 kolam utama kolam antila plaza atlas poseidon aquarius octopus kiddy pool atlantean lokasi kawasan ancol jakarta baycity atlantis jadi pilih destinasi pas wisata renang
5,6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Taman Hiburan,Jakarta,25000,4.5,"{'lat': -6.117333200000001, 'lng': 106.8579951}",-611.733,106.858,"['utarann', 'impi', 'jaya']",taman impi jaya ancol rupa buah objek wisata jakarta utarann
6,7,Kebun Binatang Ragunan,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Cagar Alam,Jakarta,4000,4.5,"{'lat': -6.3124593, 'lng': 106.8201865}",-631.246,1.068.202,"['binatang', 'ragunan', 'kebun']",kebun binatang ragunan buah kebun binatang letak daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang luas 140 hektare diri tahun 1864 bagai koleksi diri 295 spesies 4040 spesimennragunan sempat tutup lama tiga minggu sejak 19 september 2005 hewanhewan infeksi flu burung buka 11 oktober 2005kebun binatang milik banyak spesies hewan langka kakatua orangutan gorila anoa gajah
7,8,Ocean Ecopark,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.",Taman Hiburan,Jakarta,180000,4.0,"{'lat': -6.125801699999999, 'lng': 106.8363249}",-61.258,1.068.363,"['ocean', 'harga', 'outbondholic']",ocean ecopark salah satu zona rekreasi ancol tawar ruang buka hijau alam lupa sisi didik unjung agam aktivitas wahana seru main tempat rekreasi keluarga beberapa outbondholic rumah energy rumah lebah kano paintball outbondholic ecomarket learning farm ecobike faunaland kalau rencana wisata ocean eco park ancol perlu khawatir harga tiket masuk harga tiket masuk ocean eco park tawar harga jangkau
8,9,Pelabuhan Marina,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",Bahari,Jakarta,175000,4.4,"{'lat': 1.07888, 'lng': 103.931398}",107.888,1.039.314,"['ancol', 'marina', 'labuh']",labuh marina ancol kawasan taman impi jaya ancol jakarta labuh biasa sebut dermaga marina ancol kawasan perlu seberang kembang banyak wisata air olahraga air maupun wahana main fungsi utama labuh layan tumpang seberang tuju pulau ribu balik banyak orang jakarta jadi kepulaun ribu bagai tuju wisata utama libur pulau ribu memang mampu hilang penat kerja kota metropolitan sembari nikmat indah pantai jaga baik marina ancol jakarta utara cara lengkap alamat kota tua ancol pademangan kota jakarta sangat mudah tuju tempat terlalu jauh pusat kota banyak transportasi umum tuju tempat jasa transportasi online
9,10,Pulau Tidung,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",Bahari,Jakarta,150000,4.5,"{'lat': -5.803205300000001, 'lng': 106.5237907}",-580.321,1.065.238,"['pulau', 'ribu', 'tidung']",pulau tidung salah satu lurah camat pulau ribu selatan kabupaten pulau ribu jakarta indonesia
